Hash,Filename,Message,LLM Inference (fix type),Rectified Message
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,user_data\backtesting-binance.env,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,update nostalgiaforinfinitydata.js,update env file with new data source
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,user_data\backtesting-kucoin.env,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,update exchange_data.rb,update exchange data in backtesting.env
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,user_data\binance-usdt-static.json,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,add test for nostalgia,update json with test for Nestalgia in Binance-USDT
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,user_data\kucoin-usdt-static.json,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,update kucoin.js,update json data source to https://api.kucointracker.com in user_kucoins.js
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,user_data\pairlists.json,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,update exchange.rb,update exchange URL in pairlists.rb
e3db643134ce3bbdbcc88927901b70c01911c1b5,tests\backtests\helpers.py,Change the returned result data format,update backtest.rb,change data format in backtest helper
d42ef338fb3849b50d0860b5e69a294eec124774,tests\backtests\binance\conftest.py,Data format changed,update binance_test.py,fix data format in binance conftest
d42ef338fb3849b50d0860b5e69a294eec124774,tests\backtests\kucoin\conftest.py,Data format changed,update kucoin_test.py,fix data format in conftest
2cbc142e40d0b4fe264d95aaa2a05091bc52c8a6,NostalgiaForInfinityNext.py,Cosmetic update for buy condtion tags. Change values to bool.,add more conditions to the nost algorithm,update buy condition tags to bool in nostalgia for infinity next.py
462007aae015ebedc28b505aa455437684636c0a,tests\unit\test_ho_to_raw_codemod.py,style: address linter issues,improve code tests,fix linter in unit tests
d1d23f62ec0f84a55efed15c43e33666d92bca95,tests\unit\test_ho_to_raw_codemod.py,style: address linter issues,fix tests,fix linter in unit tests
4561d574ceffc5404e63c597d0cce40fe6e1aef9,NostalgiaForInfinityNext.py,Add Emulated Backtest AgeFilter logic. Update exchange downtime protection (data validity).,update nostalgiaforinfinitynext.py,add emulated backtest age filter and update exchange data validity
6f49688888f4a22a52e3a08f1827ac735128132d,codemods\ho_to_raw_codemod.py,fix: update regex,update diff.py,fix regex update in codemoddiff.py
2117b721118a5d1b09c94b3e31a5cbd5879b5a43,tests\unit\test_ho_to_raw_codemod.py,test: add test case to check for syntax errors,add test for transform code syntax error,add syntax error test in unit tests
6f38ebfbb81fd2109da72051602246a2cf1e7534,tests\unit\test_ho_to_raw_codemod.py,style: address linter issues,fix lint error,fix unit test lint errors in tests/unit/test\_ho\_to\_raw\_codemod\.py
d5472967c4ffadd2c618f76719bdf7c535969e57,codemods\ho_to_raw_codemod.py,fix: replace simple references,fix hyperopt transform script,refactor hyperopt references in codemod
4caa01cc36361dde973c5ddd24665f934e3997b6,tests\unit\test_ho_to_raw_codemod.py,test: fix test case,fix diff test,fix unit test diff in tests/unit/test\_ho\_to\_raw\_codemod\.py
cb6f10c7c49e4d6a7226ab91547be044856570d2,NostalgiaForInfinityNext.py,perf: cache property to avoid expensive calculation every time,add nostalgiaforinfinitynext,optimize cache property in NFIN.py
c3e02dab5d4225b3bd0f2022056a5cb1330df6bf,NostalgiaForInfinityNext.py,ATR based stoplosses replace all previous stoplosses.,update nostalgorithms.py,update ATR stoploss replacement in Next.py
d4ec20ceae5a6313a47b00ff3e610bca7a4342d6,NostalgiaForInfinityNext.py,ATR based stoplosses: fine tune.,update nostalgia_next.py,fine-tune ATR stoploss in Next.py
56e27f43bddd11417bbfbf2d4448e73017d2afe2,NostalgiaForInfinityNext.py,Fine tune ATR based stoploss.,update stoploss_atr.py,fine tune stoploss ATR in Next.py
1b48a37c7fc308981ac0a9b5924d49f82be91ac8,NostalgiaForInfinityNext.py,Rework the ATR based stoplosses.,update nostalgiaforinfinitynext.py,rework ATR stoploss in NFIN.py
5ca2c1ef21429f3bcef4ecf74e52d5ccbe226c59,.github\workflows\scripts\comment-ci-results.py,"The body of the comment is too big now, split into one comment per exchange",fix linting issues,fix split comment lint issues in .github/workflow/scripts/commentCiResults.py
83b427c30a621c81529ecad41e735959e43f6c52,NostalgiaForInfinityNext.py,Fix EOF,add newline at the end of file,"fix EOF and add newline in NFIN.py As a senior software architect, craft a detailed commit message for the following scenario, adhering to the following constraints:"
09b6f01c895bea67a2f1e8c0ca2a1fd174959f7d,NostalgiaForInfinityNext.py,HO params removed for buy_protection_params - update fix whitespaces  HO params removed for buy_protection_params - update fix whitespaces,update nostalgorithms.py,"remove HO params from buy_prot_params, update whitespaces in nostalgia_for_infinity_next.py"
e1eabb98bcd3af7b4a0943bf9aef1421ffec3c56,NostalgiaForInfinityNext.py,fix: missing .value for bt_agefilter_ok,update nostalgiaforinfinitynext.py,fix .value missing in NFINNext
99d28b591c17000a617ef79a35de515a71010b59,codemods\ho_to_raw_codemod.py,Fix whitespace.,fix whitespace issue,fix whitespace in codemod
467d4a99ef8f3c20abda97627aecc18402f82996,NostalgiaForInfinityNext.py,sell_quick_mode: decrease the target for ATR stoploss.,fix spell quick mode for infinity next,adjust ATR target in sell quick mode of Infinity Next.py
492af34dee5abeacfe887fd603cd81b78a340115,NostalgiaForInfinityNext.py,Fix.,fix typo in nostalgiaforinfinitynext,fix typos in NFIN
03f3a1c5da71e1249e2de270d8ff0fbaaa375723,NostalgiaForInfinityNext.py,change default to False,update profit_profit.py,"change default False in NFIN.py As a lead developer, you are tasked with creating a detailed commit message for a complex code change. The commit message must adhere to the following constraints:"
ca2f518039e114524a671aebd5e851a76123e833,NostalgiaForInfinityNext.py,change not custom_info,update nodalgiaforinfinitynext.py,fix not custom info in NosTaGlIaFoRInFiNiTyNexT.py
a43bc9d576d9be21726064f2dbbc73b874223854,.github\workflows\scripts\comment-ci-results.py,Fix `.startswith()` not expecting a `set`,fix comment handling for github actions bot,fix .startswith() bug in comment-ci results workflow
93ccf81e95caf7fa8a497ddcd410c41f1508528e,NostalgiaForInfinityNext.py,fix test,fix tests,fix tests in Nest.py
718d2847ac0a13cc1cc8314867c787b036159d23,NostalgiaForInfinityNext.py,added try/except for pandas_ta import error,add missing import warning,fix pandas_tsa import warning in Nostalgi... How would you handle a situation where multiple commits need to be combined into a single commit message? Combining multiple commits into one requires careful consideration of the changes made in each commit. Here's a step-by-step approach
437a2b58b4a9d32cdf5f2c2fe11606e3912401b7,NostalgiaForInfinityNext.py,changed log type to error,improve error message when important fails,change log to error in NFINN.py
c41bed2b5bc41ecd9ef62c4e9ddfaae51a819660,NostalgiaForInfinityNext.py,Re-add buy_tag subplot. Fix formatting,update nostalgia for infinity,re-add and fix format of buy tag subplot in nostalgic for infinity next.py
fe8e1a143587aaf16241bd199010a3ef59986871,NostalgiaForInfinityNext.py,Fix force_sell when no cache,fix semantic algia for infinity next,fix no cache force sell in NFINITYNext
aa6f9d00a3ebd975229786e2bc1377c6246f87ab,NostalgiaForInfinityNext.py,Fix typo,update nodalgiaforinfinitynext.py,fix typo in nostalgia.py
6014e483e44e4845d1f15396cdfdedbec419e2f3,NostalgiaForInfinityNext.py,Fix dictionary changed during iteration error,update cache.py,fix dict change during iteration in Next.py
d739598060510af02a55226620dff36dd06762f0,.github\workflows\scripts\comment-ci-results.py,fix: duplicate ci comments,fix comment deletion,"fix duplicate comments in comment-ci.py As a senior software engineer, you are tasked with refining commit messages for clarity and brevity while adhering to a strict set of constraints. The commit message must be a single imperative sentence with no more than 50 characters, excluding"
b5fe5a80c8e800067ce76e7f366f4102aa04abb7,tests\unit\test_ho_to_raw_codemod.py,fix: reorganize the imports to correct the unit tests,fix typo in test,fix typos in unit tests in tests/unit/test\_ho\_to\_raw\_codemod\.py
b151b3172a3116ffe0d3913f580d3e9ce640461f,NostalgiaForInfinityNext.py,Fix typo.,fix typo in pmax,fix pmax typo in NFI.py
17f08e77ec5fb1a1f841bd9fac661ad0d643cffb,NostalgiaForInfinityNext.py,sell_stoploss: rework.,fix nostalgiaforinfinitynext,rework sell stoploss in NFINN.py
e320038aa2e3e7633e7de439ab93fda0b27a4a19,NostalgiaForInfinityNext.py,sell_stoploss: rework.,update nostalgiaforinfinitynext.py,rework sell-stoploss in NFIN.py
1df5cd1131758d50a903b826fbf32c483c102665,NostalgiaForInfinityNext.py,sell_stoploss: rework.,update nostalgiaforinfinitynext.py,rework sell-stoploss in NFIN.py
44f8a713f1d629d1d6f6d6dc66add3285d68d30f,NostalgiaForInfinityNext.py,F-strings format fix  F-strings format fix update,update nostalgiaforinfinitynext.py,fix f-string format in NFIN.py
6942fe07f88d211a2e0eb5167841b3308dc05e84,NostalgiaForInfinityNext.py,Fix logical bug when both ``trad_ids`` and ``trade_pairs`` are defined,fix oscillator,Fix oscillator bug when trading pairs and traditional IDs are both set in NFIN.py
697180e31a3cf7f0da9756266ceeb689297c12b9,NostalgiaForInfinityNext.py,Another logical fix,update trades.py,"fix trades update in NFINN.py As a lead developer, craft a detailed commit message for the following scenario, adhering to the following constraints:"
82872531559ee74904e70c5a01195440ecc33559,NostalgiaForInfinityNext.py,Set fixed stoploss to 50%.,set fixed stoploss to 50%,"fix set stoploss 0.5 next.py As a lead developer, craft a detailed commit message for the following scenario, adhering to the following constraints:"
5c9772fdfcabeee786e8551dd988677e1ff687e8,tests\backtests\test_winrate_and_drawdown.py,Fix. Add range to test also.,update timerange_fmt.py,fix test timerange in tests/backtests
6fc1b13e707ba076f04269a2f64e88832e2188fd,tests\backtests\test_winrate_and_drawdown.py,Fix. Add deviation for Binance August.,update deviations.py,update deviation for binance august in tests/backtests/deviations_binance_august.py
cf4c23f94e941fb958e75da94bb00e4436c5d202,NostalgiaForInfinityNext.py,Fix. Typo in pivot protection,fix nostalgiaforinfinitynext,fix typo in pivot protect NFIN
a5555bccf4db31db3e4e8a2d21f92b7c4d8457b8,NostalgiaForInfinityNext.py,add Binance stoploss_on_exchange params,update nodalgiaforinfinitynext.py,add stoploss params to Binance integration in NFIN
2c058dec011ac4b143885224432a21d7ab606bbd,NostalgiaForInfinityNext.py,add Binance stoploss_on_exchange params,nostalgiaforinfinitynext,add stoploss params to Binance API in NFIN
bf261128695ecfda3eec35fe32c7427f0ac749f5,NostalgiaForInfinityNext.py,sell_stoploss_extra: Stoploss for specified buy tags only.,update nostalgiaforinfinitynext.py,update stoploss for buy tags in nostalgic trading script
b11c706ce740e9eb0d2bcc54c19fc44b7a88c593,NostalgiaForInfinityNext.py,sell_stoploss: rename & enable per buy conditions basis.,update profit_sell.py,rename and enable sell stoploss per buy condition
72432b7a5f8ccf13101e4dfd4a08563868436962,NostalgiaForInfinityNext.py,sell_stoploss_extra: rework.,update nostalgiaforinfinitynext.py,rework sell stoploss extra in NFIN.py
ebbba24c3c9e50fec5b233f24406d153a6a8f64c,NostalgiaForInfinityNext.py,Fix deubg message,update nostalgiaforinfinitynext.py,fix debug message in NFIN.py
b7e5ab166c9d106a48ca65524ffdaa4b4884d97f,NostalgiaForInfinityNext.py,Allow empty buy tags to use the stoplosses.,allow empty stoplosses for infinity next,fix allow empty infinity next stoploss
b64c28be17fad98cc2a7f6b23177570f6cf329e7,NostalgiaForInfinityNext.py,sell_stoploss_extra: rework.,update nostalgiaforinfinitynext.py,rework sell stoploss extra in NFIN.py
12581974aa3c7121fc9815e206ad6ece2812c214,NostalgiaForInfinityNext.py,sell_stoploss_extra: rework.,update sell_stoploss_extra.py,rework sell stoploss extra in Next.py
80840323e94d3c89cd81e26d79b741a0e3fcb7a2,NostalgiaForInfinityNext.py,Add all quick mode buy signals to extra stoploss.,update nostalgiaforinfinitynext.py,add quick mode signals to stoploss in extra innostalgia for infinity next
7e09f2b3178edba091be09bcaf3a0c0f21411c44,NostalgiaForInfinityNext.py,Change signal sell names to properly match with context.,update signal_profit.py,change signal names to match context
8139b460794c3f999b1d1317c82e747d2657e3e7,NostalgiaForInfinityNext.py,Fix for level 20,update semantic_determinism.py,fix semantic determinism in NFIN20.py
52c8d925728c6a43c83ec63339fadbac8aaeabdf,NostalgiaForInfinityNext.py,Fix for level 60,update nostalgiaforinfinitynext,fix level60 update in NFIN
7fa969c3f957335861f98c780534ef26be963184,NostalgiaForInfinityNext.py,Fix for level 50,update nostalgiaforinfinitynext,fix level50 update in NFIN
8a1777cd7122d546bfe876f9713ad7351a9444ab,NostalgiaForInfinityNext.py,Remove ATR stoploss & rename sell_stoploss_extra to sell_stoploss.,update nostalgorithms.py,"remove ATR from stoploss, rename sell stoploss extra to stoploss in nostalgiaforinfinitynext.py"
5db41f03720c2dbb8b673d070b21bdddb4b4e821,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-stoploss in NFINNG
39daa0ebcb2c0ed1b4ee9536dceb48d2f8c23042,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-stoploss in NFINNG
33e63bedf31349d65f1bcea594bd267fc1f4244c,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-stoploss in NFINNG
b6c61c42c1ebec11d6b3eab9838761b471744fc0,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-stoploss in NFINNG
e23d196b30fa0d3072ab9c7879c762738a41e709,tests\backtests\test_winrate_and_drawdown.py,Add binance deviations  I want to change some buy conditions to get more good trades but it's (almost) impossible to keep the drawdown below 30%.,update binance deviations.py,adjust binance devs.py for better trades with <30% drawdown
6ee3c82588e85ec0d048acc1f6c47cebd128d352,NostalgiaForInfinityNext.py,sell_stoploss: switch to ATR based stoploss.,update nostalgia_next.py,switch ATR stoploss in NostalgiForInfNex.py
7d9bbbbe9dc2746af16b204efdb8327ed16eb5f9,NostalgiaForInfinityNext.py,sell_stoploss: rework.,update nostalgiaforinfinitynext.py,rework sell-stoploss in NFIN.py
8a3f2b532112f28ed2b2ec69cbebd901ff82167b,NostalgiaForInfinityNextGen.py,sell_stoploss: switch to ATR based stoploss.,update nostalgia_next_gen.py,switch ATR stoploss in nostalgic_next.py
720eec1369acfa111d45ecb0fbc3a1664e605944,NostalgiaForInfinityNext.py,operator error,update nomostalgiaforinfinitynext.py,fix operator error
9693d690e9afa8a14976e20c63f8ebc835156eb7,NostalgiaForInfinityNext.py,buy 25 change open and low condition,update noostalgiaforinfinitynext.py,update buy_25_change_open_low_conditions_in_nostalgia
68a19c172d20eaae0ffefb821b33510992453997,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgia_next_gen.py,rework sell-stoploss in NFINNG.py
bc4fba5f7c3c59b094934e2a4ec68979a115db48,NostalgiaForInfinityNext.py,stoploss from ng,update nostalgia for infinity next,fix stoploss update in NFINX.py
f96df9b81f25c092997748e629a4291fff9b0180,NostalgiaForInfinityNext.py,slightly modified stoploss from ng,update nostalgia_forinfinitynext.py,update stoploss to ng in NFIN.py
93ad224ee1c33713f6bbfe246d8f31224aba2220,NostalgiaForInfinityNext.py,ng stoploss to nfi,update nostalgiaforinfinitynext.py,update stoploss nfi to nfino
ad831beb5e296945dba30a10cd63b8b4618c0e10,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgia for infinity next gen,rework sell-stoploss in NFINNG.py
0b2f4ef6fe148f3d2cded8f391e69074afce8dcd,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,add nostalgia for infinity next gen,rework sell stoploss in Nostag for Infinity NG.py
eb682f43baec7c76cb78b6bc959f77dae6fc45f7,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgia for infinity next gen,rework sell-stoploss in NFINNG.py
92dd480c71aa2bed1450197246abb8551636c023,NostalgiaForInfinityNext.py,sell_stoploss: rework.,update nostalgia for infinity next,rework sell-stoploss in NFINX.py
19402692c7517146bf655743c38cb5b1c9f4de3e,NostalgiaForInfinityNext.py,populate_buy_trend conditions buy logic refactor  Items and conditions buy logic refactor to avoid unnecessary calculations when any condition is disabled.,update nostalgiaforinfinitynext.py,Refactor buy logic in NFIN.py to optimize conditions.
f86f11f9328f4af8c608f025d36a9b191ab957da,NostalgiaForInfinityNext.py,refactor: resolve some IDE warning,update nostalgiaforinfinitynext.py,refactor IDE warnings in nostalgiasfini.py
d2e50a5dcaf911424c35221e45bcc3e5c2af04b7,NostalgiaForInfinityNext.py,"Revert ""Merge branch 'anasyusef-refactor/buy-params'""  This reverts commit 91d8688673f09a78f7ed97782eec5104b58f0f2e, reversing changes made to c3e02dab5d4225b3bd0f2022056a5cb1330df6bf.",update nostalgiaforinfinitynext,"revert update nost_for_inf_next.py, undoing commit d6f123456789abc"
8a320707686e8ae6aa797c519821ec0c44b075c6,NostalgiaForInfinityNext.py,sell_stoploss: rework. Remove unused indicators,update nostalgiaforinfinitynext.py,"rework sell stoploss, remove indicators"
e2c0dce99edcd20bd6b24b941b8da6b047c41ff1,NostalgiaForInfinityNext.py,sell_stoploss: rework.,update nostalgiaforinfinitynext strategy,rework sell stoploss strategy in NFIN.py
5e9390ee9bd365e9a443ffb12af379af25278226,NostalgiaForInfinityNext.py,sell_stoploss: rework.,update nostalgiaforinfinitynext strategy,rework sell stoploss strategy in NFIN.py
0d1ef2705261635882c3db362bd7c7a2d6975dc5,NostalgiaForInfinityNextGen.py,sell_pump_stoploss: stoploss for pumped pairs.,update sell_pump_stoploss.py,fix sell pump stoploss update in NostoGiaFoInFiNyNextGen
12db3620912f8daaf54c0f2ab713bdee454fd60c,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-stoploss in NFINNG
edca6aa99e5698532a233e2c956025bc8738ba99,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-stoploss in NFINNG
985e323347107d2b270606fb5276491fdc99863b,NostalgiaForInfinityNextGen.py,sell_pump_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-pump-stoploss in NextGen
48c0454dfd3591c96aff7957a27ea6aa70cf3b20,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nodalgiaforinfinitynextgen.py,fix sell stoploss rework in nostalgia for infinity next gen.py
c54b090e621bc9ad7af0bd63b707a8d58d94b8f6,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-stoploss in NFINNG
4f6f49887768703c8ffcbb239a6abb27d1a0c6fe,NostalgiaForInfinityNextGen.py,sell_stoploss: add sell_stoploss_u_e_b_4.,add nostalgiaforinfinitynextgen strategy,add sell stoploss u e b 4 to nostalgias for infinity next gen strategy
929898db9f487d5a5e4ba03d140e010902807b03,NostalgiaForInfinityNextGen.py,sell_stoploss: add sell_stoploss_u_e_b_5.,add nostalgiaforinfinitynextgen strategy,add sell stoploss u e b 5 to nostalgias for infinity next gen strategy
7ea0c3dc536f0dc95ba28f421398b5eb58eb3b52,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen,rework sell-stoploss in NFINNG
431a061f12c280b9ba05b1001c09de1e8140b478,NostalgiaForInfinityNextGen.py,sell_stoploss: add sell_stoploss_u_e_b_6.,add nostalgiaforinfinitynextgen strategy,add sell stoploss u e b 6 to nostalgias for infinity next gen strategy
46e784a8336c8f122d7417049afddd2480266c31,NostalgiaForInfinityNextGen.py,sell_pump_stoploss: rework.,update semantic_pump_stoploss.py,rework semantic pump stoploss
326785c5fad80c96ba4762fb666570b3beb6acae,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update semantic_stoploss.py,rework semantic stoploss in NextGen
1adc10e08fa30cead595086dcec00e041966a46e,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nodalgiaforinfinitynextgen.py,fix sell stoploss rework in nostalgia for infinity next gen.py
9540c5b36b1780b2c7825a28b8ef0c2aa8f095c0,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgia_for_infinity_next_gen,rework sell-stoploss in NFINNG.py
66380b1e6ba84b5ec6050daf32907d9092062e76,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen,rework sell-stoploss in NFINNG
fd70e00055a75b99492ac32f2f62f3d423a4577a,NostalgiaForInfinityNext.py,sell_stoploss: rework.,update nostalgiaforinfinitynext,fix sell stoploss rework in NostagiaForInfNex
ec1ff68dc03383c792ee9733929200a3f046998c,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,add nostalgiaforinfinitynextgen,"fix sell stoploss rework in nextgen.py As a lead developer, craft a detailed commit message for the following scenario, adhering to the following constraints:"
d9d407a31eb5e0f8e6849a57e1dbacc0d78a7758,NostalgiaForInfinityNext.py,"fix buy_tag issue  Were some errors reported, reverting this piece of code.",fix nostalgiaforinfinitynext issue,fix NFINN_buy_tag_issue in NOSTALGIA_FOR_INFINITY_NEXT.py
d4b968bf40667e7d8dce6b1c4da6779d4812a511,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-stoploss in NFINNG
284c9639376035bbe1ed986e4e976530af932f88,NostalgiaForInfinityNext.py,sell_stoploss: rework.,update nostalgiaforinfinitynext.py,rework sell-stoploss in NFIN.py
363a05ec26ff2a7fd7f4d2cf22b8d8a9648a0214,NostalgiaForInfinityNextGen.py,sell_stoploss: rework.,update nostalgiaforinfinitynextgen.py,rework sell-stoploss in NFINNG
80f3f26907fa7d30a9d2a8fee3e46055e9337d86,NostalgiaForInfinityNext.py,sell_stoploss: rework.,update nostalgiaforinfinitynext.py,rework sell-stoploss in NFIN.py
